,Date,Transaction Type,Num,Name,Memo/Description,Split,Amount,Balance,category,category_level,item,Account_Type
0,2024-01-31,Deposit,,,"Deposit Dividend 0.050% APY Earn Dividend, Deposit, Processed",ENT Savings (Keystone),0.19,.19,Income:Interest Earned,2,Interest Earned,Income
1,2024-01-04,Deposit,,,"Tithe.ly  : Tithe.ly   : 1800948 ACH, Deposit, Processed",1002 ENT Checking (Keystone),254.1,254.10,Income:Tithe:General Tithe,3,General Tithe,Income
2,2024-01-09,Deposit,,,"Tithe.ly  : Tithe.ly   : 1800948 ACH, Deposit, Processed",1002 ENT Checking (Keystone),250.0,504.10,Income:Tithe:General Tithe,3,General Tithe,Income
3,2024-01-09,Deposit,,,"Tithe.ly  : Tithe.ly   : 1800948 ACH, Deposit, Processed",1002 ENT Checking (Keystone),100.0,604.10,Income:Tithe:General Tithe,3,General Tithe,Income
4,2024-01-10,Deposit,,,"Tithe.ly  : Tithe.ly   : 1800948 ACH, Deposit, Processed",1002 ENT Checking (Keystone),548.31,1152.41,Income:Tithe:General Tithe,3,General Tithe,Income
5,2024-01-13,Deposit,,,"Deposit   Bulk Checks         12 Deposit, Processed",1002 ENT Checking (Keystone),167.0,1319.41,Income:Tithe:General Tithe,3,General Tithe,Income
6,2024-01-18,Deposit,,,"Tithe.ly  : Tithe.ly   : 1800948 ACH, Deposit, Processed",1002 ENT Checking (Keystone),399.45,1718.86,Income:Tithe:General Tithe,3,General Tithe,Income
7,2024-01-19,Deposit,,,"Tithe.ly  : Tithe.ly   : 1800948 ACH, Deposit, Processed",1002 ENT Checking (Keystone),193.9,1912.76,Income:Tithe:General Tithe,3,General Tithe,Income
8,2024-01-21,Deposit,,,"RDC  Deposit RDC Item Count  1 Check, Deposit, Processed",1002 ENT Checking (Keystone),129.94,2042.70,Income:Tithe:General Tithe,3,General Tithe,Income
9,2024-01-23,Deposit,,,"Tithe.ly  : Tithe.ly   : 1800948 ACH, Deposit, Processed",1002 ENT Checking (Keystone),100.0,2142.70,Income:Tithe:General Tithe,3,General Tithe,Income
